rspm,no2,so2,rainfall,humidity,temperature,year,quarter,No of districts,Locations
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2014,4,4,"['HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR'
  'PUNJAB_RUPNAGAR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2015,1,1,['PUNJAB_FARIDKOT']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2015,4,4,"['HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2016,1,1,['HIMACHALPRADESH_UNA']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2016,4,4,"['HARYANA_PANCHKULA' 'HIMACHALPRADESH_KULLU' 'HIMACHALPRADESH_SOLAN'
  'HIMACHALPRADESH_UNA']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2017,4,3,['HARYANA_PANCHKULA' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2018,1,3,['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_UNA' 'PUNJAB_PATIALA']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2019,1,2,['MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT']
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2019,4,4,"['HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA' 'PUNJAB_GURDASPUR'
  'PUNJAB_RUPNAGAR']"
rspm_satisfactory,no2_safe,so2_safe,rainfall_low,humidity_low,temperature_low,2020,1,8,"['CHANDIGARH_CHANDIGARH' 'HIMACHALPRADESH_SOLAN' 'HIMACHALPRADESH_UNA'
  'MADHYAPRADESH_CHHATARPUR' 'PUNJAB_FARIDKOT' 'PUNJAB_GURDASPUR'
  'PUNJAB_HOSHIARPUR' 'PUNJAB_RUPNAGAR']"
