,Location,Year,total_cases,smear
4902,MEGHALAYA_RIBHOI,2017,295,156
4903,MEGHALAYA_RIBHOI,2018,246,154
4918,MIZORAM_AIZAWL,2003,693,173
4919,MIZORAM_AIZAWL,2004,944,252
4920,MIZORAM_AIZAWL,2005,946,208
4921,MIZORAM_AIZAWL,2006,978,229
4922,MIZORAM_AIZAWL,2007,1104,233
4923,MIZORAM_AIZAWL,2008,1321,243
4924,MIZORAM_AIZAWL,2009,1418,236
4925,MIZORAM_AIZAWL,2010,1356,193
4926,MIZORAM_AIZAWL,2011,1223,193
4927,MIZORAM_AIZAWL,2012,1178,201
4928,MIZORAM_AIZAWL,2013,1010,216
4929,MIZORAM_AIZAWL,2014,1063,238
4930,MIZORAM_AIZAWL,2015,1214,247
4931,MIZORAM_AIZAWL,2016,1224,261
4932,MIZORAM_AIZAWL,2017,1408,324
4933,MIZORAM_AIZAWL,2018,1543,469
4934,MIZORAM_CHAMPHAI,2003,130,28
4935,MIZORAM_CHAMPHAI,2004,152,35
4936,MIZORAM_CHAMPHAI,2005,137,30
4937,MIZORAM_CHAMPHAI,2006,119,28
4938,MIZORAM_CHAMPHAI,2007,152,44
4939,MIZORAM_CHAMPHAI,2008,144,38
4940,MIZORAM_CHAMPHAI,2009,163,39
4941,MIZORAM_CHAMPHAI,2010,137,45
4942,MIZORAM_CHAMPHAI,2011,131,26
4943,MIZORAM_CHAMPHAI,2012,156,46
4944,MIZORAM_CHAMPHAI,2013,132,34
4945,MIZORAM_CHAMPHAI,2014,112,38
4946,MIZORAM_CHAMPHAI,2015,132,40
4947,MIZORAM_CHAMPHAI,2016,138,61
4948,MIZORAM_CHAMPHAI,2017,193,65
4949,MIZORAM_CHAMPHAI,2018,161,79
4950,MIZORAM_KOLASIB,2003,139,69
4951,MIZORAM_KOLASIB,2004,200,80
4952,MIZORAM_KOLASIB,2005,210,96
4953,MIZORAM_KOLASIB,2006,164,47
4954,MIZORAM_KOLASIB,2007,197,76
4955,MIZORAM_KOLASIB,2008,243,71
4956,MIZORAM_KOLASIB,2009,226,62
4957,MIZORAM_KOLASIB,2010,176,50
4958,MIZORAM_KOLASIB,2011,158,38
4959,MIZORAM_KOLASIB,2012,166,46
4960,MIZORAM_KOLASIB,2013,168,36
4961,MIZORAM_KOLASIB,2014,173,55
4962,MIZORAM_KOLASIB,2015,120,46
4963,MIZORAM_KOLASIB,2016,137,63
4964,MIZORAM_KOLASIB,2017,194,83
4965,MIZORAM_KOLASIB,2018,220,114
4982,MIZORAM_LUNGLEI,2003,246,131
4983,MIZORAM_LUNGLEI,2004,358,109
4984,MIZORAM_LUNGLEI,2005,286,91
4985,MIZORAM_LUNGLEI,2006,278,130
4986,MIZORAM_LUNGLEI,2007,277,148
4987,MIZORAM_LUNGLEI,2008,365,222
4988,MIZORAM_LUNGLEI,2009,257,90
4989,MIZORAM_LUNGLEI,2010,238,78
4990,MIZORAM_LUNGLEI,2011,290,124
4991,MIZORAM_LUNGLEI,2012,322,137
4992,MIZORAM_LUNGLEI,2013,260,88
4993,MIZORAM_LUNGLEI,2014,215,51
4994,MIZORAM_LUNGLEI,2015,229,82
4995,MIZORAM_LUNGLEI,2016,209,62
4996,MIZORAM_LUNGLEI,2017,213,78
4997,MIZORAM_LUNGLEI,2018,222,85
5046,NAGALAND_DIMAPUR,2004,21,11
5047,NAGALAND_DIMAPUR,2005,745,221
5048,NAGALAND_DIMAPUR,2006,735,252
5049,NAGALAND_DIMAPUR,2007,951,305
5050,NAGALAND_DIMAPUR,2008,695,282
5051,NAGALAND_DIMAPUR,2009,937,317
5052,NAGALAND_DIMAPUR,2010,1002,328
5053,NAGALAND_DIMAPUR,2011,989,309
5054,NAGALAND_DIMAPUR,2012,921,330
5055,NAGALAND_DIMAPUR,2013,916,308
5056,NAGALAND_DIMAPUR,2014,1042,401
5057,NAGALAND_DIMAPUR,2015,1006,403
5058,NAGALAND_DIMAPUR,2016,912,342
5059,NAGALAND_DIMAPUR,2017,928,301
5060,NAGALAND_DIMAPUR,2018,1281,515
5178,NAGALAND_WOKHA,2002,7,7
5179,NAGALAND_WOKHA,2003,114,54
5180,NAGALAND_WOKHA,2004,104,49
5181,NAGALAND_WOKHA,2005,120,57
5182,NAGALAND_WOKHA,2006,118,75
5183,NAGALAND_WOKHA,2007,129,87
5184,NAGALAND_WOKHA,2008,132,80
5185,NAGALAND_WOKHA,2009,192,129
5186,NAGALAND_WOKHA,2010,178,115
5187,NAGALAND_WOKHA,2011,157,108
5188,NAGALAND_WOKHA,2012,135,85
5189,NAGALAND_WOKHA,2013,131,69
5190,NAGALAND_WOKHA,2014,131,71
5191,NAGALAND_WOKHA,2015,150,91
5192,NAGALAND_WOKHA,2016,122,69
5193,NAGALAND_WOKHA,2017,119,63
5194,NAGALAND_WOKHA,2018,110,56
5340,ODISHA_CUTTACK,2003,403,161
5341,ODISHA_CUTTACK,2004,1801,776
5342,ODISHA_CUTTACK,2005,1879,747
5343,ODISHA_CUTTACK,2006,1773,716
5344,ODISHA_CUTTACK,2007,2047,722
5345,ODISHA_CUTTACK,2008,2124,786
5346,ODISHA_CUTTACK,2009,1998,757
5347,ODISHA_CUTTACK,2010,1786,649
5348,ODISHA_CUTTACK,2011,1710,632
5349,ODISHA_CUTTACK,2012,1712,630
5350,ODISHA_CUTTACK,2013,1484,535
5351,ODISHA_CUTTACK,2014,1672,550
5352,ODISHA_CUTTACK,2015,1674,522
5353,ODISHA_CUTTACK,2016,1673,585
5354,ODISHA_CUTTACK,2017,2638,1064
5355,ODISHA_CUTTACK,2018,4018,1871
5407,ODISHA_GANJAM,2004,4308,1917
5408,ODISHA_GANJAM,2005,5157,2160
5409,ODISHA_GANJAM,2006,4977,1964
5410,ODISHA_GANJAM,2007,5376,2014
5411,ODISHA_GANJAM,2008,5483,1907
5412,ODISHA_GANJAM,2009,5610,2015
5413,ODISHA_GANJAM,2010,5221,1879
5414,ODISHA_GANJAM,2011,5427,1902
5415,ODISHA_GANJAM,2012,5330,1871
5416,ODISHA_GANJAM,2013,4471,1703
5417,ODISHA_GANJAM,2014,4701,1713
5418,ODISHA_GANJAM,2015,4656,1664
5419,ODISHA_GANJAM,2016,4567,1685
5420,ODISHA_GANJAM,2017,6184,2598
5421,ODISHA_GANJAM,2018,4437,1778
5442,ODISHA_JHARSUGUDA,2001,778,316
5443,ODISHA_JHARSUGUDA,2002,706,288
5444,ODISHA_JHARSUGUDA,2003,782,329
5445,ODISHA_JHARSUGUDA,2004,689,279
5446,ODISHA_JHARSUGUDA,2005,737,288
5447,ODISHA_JHARSUGUDA,2006,874,336
5448,ODISHA_JHARSUGUDA,2007,939,393
5449,ODISHA_JHARSUGUDA,2008,845,396
5450,ODISHA_JHARSUGUDA,2009,906,419
5451,ODISHA_JHARSUGUDA,2010,916,405
5452,ODISHA_JHARSUGUDA,2011,803,333
5453,ODISHA_JHARSUGUDA,2012,797,381
5454,ODISHA_JHARSUGUDA,2013,806,375
5455,ODISHA_JHARSUGUDA,2014,727,342
5456,ODISHA_JHARSUGUDA,2015,763,357
5457,ODISHA_JHARSUGUDA,2016,789,373
5458,ODISHA_JHARSUGUDA,2017,1062,510
5459,ODISHA_JHARSUGUDA,2018,672,347
5528,ODISHA_KHORDHA,2004,1356,657
5529,ODISHA_KHORDHA,2005,1956,748
5530,ODISHA_KHORDHA,2006,1719,612
5531,ODISHA_KHORDHA,2007,1897,722
5532,ODISHA_KHORDHA,2008,1223,469
5533,ODISHA_KHORDHA,2009,1237,492
5534,ODISHA_KHORDHA,2010,1131,444
5535,ODISHA_KHORDHA,2011,1095,450
5536,ODISHA_KHORDHA,2012,1123,451
5537,ODISHA_KHORDHA,2013,1013,437
5538,ODISHA_KHORDHA,2014,1069,443
5539,ODISHA_KHORDHA,2015,1038,440
5540,ODISHA_KHORDHA,2016,990,467
5541,ODISHA_KHORDHA,2017,1387,651
5542,ODISHA_KHORDHA,2018,771,390
5636,ODISHA_PURI,2003,485,205
5637,ODISHA_PURI,2004,1298,426
5638,ODISHA_PURI,2005,1244,422
5639,ODISHA_PURI,2006,1259,499
5640,ODISHA_PURI,2007,1222,413
5641,ODISHA_PURI,2008,1458,477
5642,ODISHA_PURI,2009,1497,512
5643,ODISHA_PURI,2010,1239,451
5644,ODISHA_PURI,2011,1214,435
5645,ODISHA_PURI,2012,1209,485
5646,ODISHA_PURI,2013,1128,465
5647,ODISHA_PURI,2014,1049,413
5648,ODISHA_PURI,2015,1045,442
5649,ODISHA_PURI,2016,973,422
5650,ODISHA_PURI,2017,1300,557
5651,ODISHA_PURI,2018,861,445
5652,ODISHA_RAYAGADA,2001,362,221
5653,ODISHA_RAYAGADA,2002,1263,720
5654,ODISHA_RAYAGADA,2003,1283,789
5655,ODISHA_RAYAGADA,2004,1264,764
5656,ODISHA_RAYAGADA,2005,1311,799
5657,ODISHA_RAYAGADA,2006,1328,754
5658,ODISHA_RAYAGADA,2007,1346,783
5659,ODISHA_RAYAGADA,2008,1608,936
5660,ODISHA_RAYAGADA,2009,1717,1026
5661,ODISHA_RAYAGADA,2010,1637,938
5662,ODISHA_RAYAGADA,2011,1555,824
5663,ODISHA_RAYAGADA,2012,1569,892
5664,ODISHA_RAYAGADA,2013,1658,934
5665,ODISHA_RAYAGADA,2014,1482,812
5666,ODISHA_RAYAGADA,2015,1519,849
5667,ODISHA_RAYAGADA,2016,1580,891
5668,ODISHA_RAYAGADA,2017,2488,1380
5669,ODISHA_RAYAGADA,2018,1631,1001
5670,ODISHA_SAMBALPUR,2001,1040,503
5671,ODISHA_SAMBALPUR,2002,1127,458
5672,ODISHA_SAMBALPUR,2003,1329,483
5673,ODISHA_SAMBALPUR,2004,1227,502
5674,ODISHA_SAMBALPUR,2005,1290,498
5675,ODISHA_SAMBALPUR,2006,1305,529
5676,ODISHA_SAMBALPUR,2007,1527,571
5677,ODISHA_SAMBALPUR,2008,1480,556
5678,ODISHA_SAMBALPUR,2009,1486,531
5679,ODISHA_SAMBALPUR,2010,1594,565
5680,ODISHA_SAMBALPUR,2011,1409,538
5681,ODISHA_SAMBALPUR,2012,1400,542
5682,ODISHA_SAMBALPUR,2013,1547,591
5683,ODISHA_SAMBALPUR,2014,1434,607
5684,ODISHA_SAMBALPUR,2015,1406,549
5685,ODISHA_SAMBALPUR,2016,1516,613
5686,ODISHA_SAMBALPUR,2017,1972,883
5687,ODISHA_SAMBALPUR,2018,2095,659
5692,ODISHA_SUNDARGARH,2001,3163,1290
5693,ODISHA_SUNDARGARH,2002,3083,1270
5694,ODISHA_SUNDARGARH,2003,3175,1290
5695,ODISHA_SUNDARGARH,2004,3009,1355
5696,ODISHA_SUNDARGARH,2005,2968,1282
5697,ODISHA_SUNDARGARH,2006,2983,1342
5698,ODISHA_SUNDARGARH,2007,3243,1319
5699,ODISHA_SUNDARGARH,2008,3262,1402
5700,ODISHA_SUNDARGARH,2009,3444,1462
5701,ODISHA_SUNDARGARH,2010,3329,1400
5702,ODISHA_SUNDARGARH,2011,3569,1442
5703,ODISHA_SUNDARGARH,2012,3430,1487
5704,ODISHA_SUNDARGARH,2013,3019,1339
5705,ODISHA_SUNDARGARH,2014,3009,1297
5706,ODISHA_SUNDARGARH,2015,3104,1311
5707,ODISHA_SUNDARGARH,2016,2953,1265
5708,ODISHA_SUNDARGARH,2017,5059,2220
5709,ODISHA_SUNDARGARH,2018,2855,1023
5721,PUNJAB_AMRITSAR,2003,3134,1231
5722,PUNJAB_AMRITSAR,2004,4305,1710
5723,PUNJAB_AMRITSAR,2005,4046,1625
5724,PUNJAB_AMRITSAR,2006,2824,1113
5725,PUNJAB_AMRITSAR,2007,4712,1732
5726,PUNJAB_AMRITSAR,2008,3766,1313
5727,PUNJAB_AMRITSAR,2009,3817,1349
5728,PUNJAB_AMRITSAR,2010,4206,1499
5729,PUNJAB_AMRITSAR,2011,3941,1358
5730,PUNJAB_AMRITSAR,2012,4324,1489
5731,PUNJAB_AMRITSAR,2013,3981,1349
5732,PUNJAB_AMRITSAR,2014,3819,1201
5733,PUNJAB_AMRITSAR,2015,3978,1294
5734,PUNJAB_AMRITSAR,2016,3899,1304
5735,PUNJAB_AMRITSAR,2017,3846,1357
5736,PUNJAB_AMRITSAR,2018,4970,1857
5749,PUNJAB_BATHINDA,2002,27,14
5750,PUNJAB_BATHINDA,2003,1287,402
5751,PUNJAB_BATHINDA,2004,1446,515
5752,PUNJAB_BATHINDA,2005,1475,545
5753,PUNJAB_BATHINDA,2006,1738,665
5754,PUNJAB_BATHINDA,2007,1837,733
5755,PUNJAB_BATHINDA,2008,2046,889
5756,PUNJAB_BATHINDA,2009,2175,872
5757,PUNJAB_BATHINDA,2010,2147,944
5758,PUNJAB_BATHINDA,2011,1999,799
5759,PUNJAB_BATHINDA,2012,1982,694
5760,PUNJAB_BATHINDA,2013,1736,648
5761,PUNJAB_BATHINDA,2014,1752,717
5762,PUNJAB_BATHINDA,2015,1786,691
5763,PUNJAB_BATHINDA,2016,1875,712
5764,PUNJAB_BATHINDA,2017,2023,945
5765,PUNJAB_BATHINDA,2018,2230,1118
5766,PUNJAB_FARIDKOT,2004,32,10
5767,PUNJAB_FARIDKOT,2005,852,363
5768,PUNJAB_FARIDKOT,2006,1199,439
5769,PUNJAB_FARIDKOT,2007,1074,366
5770,PUNJAB_FARIDKOT,2008,1130,398
5771,PUNJAB_FARIDKOT,2009,1118,413
5772,PUNJAB_FARIDKOT,2010,1259,445
5773,PUNJAB_FARIDKOT,2011,1307,407
5774,PUNJAB_FARIDKOT,2012,1316,508
5775,PUNJAB_FARIDKOT,2013,1235,455
5776,PUNJAB_FARIDKOT,2014,1308,423
5777,PUNJAB_FARIDKOT,2015,1198,414
5778,PUNJAB_FARIDKOT,2016,1231,448
5779,PUNJAB_FARIDKOT,2017,1199,477
5780,PUNJAB_FARIDKOT,2018,1781,731
5781,PUNJAB_FATEHGARHSAHIB,2003,505,210
5782,PUNJAB_FATEHGARHSAHIB,2004,645,262
5783,PUNJAB_FATEHGARHSAHIB,2005,525,209
5784,PUNJAB_FATEHGARHSAHIB,2006,650,268
5785,PUNJAB_FATEHGARHSAHIB,2007,673,252
5786,PUNJAB_FATEHGARHSAHIB,2010,706,298
5787,PUNJAB_FATEHGARHSAHIB,2011,800,395
5788,PUNJAB_FATEHGARHSAHIB,2012,659,301
5789,PUNJAB_FATEHGARHSAHIB,2013,664,289
5790,PUNJAB_FATEHGARHSAHIB,2014,661,280
5791,PUNJAB_FATEHGARHSAHIB,2015,643,293
5792,PUNJAB_FATEHGARHSAHIB,2016,617,270
5793,PUNJAB_FATEHGARHSAHIB,2017,566,276
5794,PUNJAB_FATEHGARHSAHIB,2018,451,223
5815,PUNJAB_GURDASPUR,2004,27,11
5816,PUNJAB_GURDASPUR,2005,2336,1038
5817,PUNJAB_GURDASPUR,2006,2462,1041
5818,PUNJAB_GURDASPUR,2007,2420,946
5819,PUNJAB_GURDASPUR,2008,2548,1097
5820,PUNJAB_GURDASPUR,2009,2683,1274
5821,PUNJAB_GURDASPUR,2010,2762,1352
5822,PUNJAB_GURDASPUR,2011,2975,1337
5823,PUNJAB_GURDASPUR,2012,2887,1250
5824,PUNJAB_GURDASPUR,2013,2710,1125
5825,PUNJAB_GURDASPUR,2014,2108,939
5826,PUNJAB_GURDASPUR,2015,2058,932
5827,PUNJAB_GURDASPUR,2016,1620,852
5828,PUNJAB_GURDASPUR,2017,1604,799
5829,PUNJAB_GURDASPUR,2018,1856,1051
5830,PUNJAB_HOSHIARPUR,2003,1497,563
5831,PUNJAB_HOSHIARPUR,2004,1547,713
5832,PUNJAB_HOSHIARPUR,2005,1608,719
5833,PUNJAB_HOSHIARPUR,2006,2008,860
5834,PUNJAB_HOSHIARPUR,2007,2162,876
5835,PUNJAB_HOSHIARPUR,2008,2070,862
5836,PUNJAB_HOSHIARPUR,2009,2075,906
5837,PUNJAB_HOSHIARPUR,2010,1945,828
5838,PUNJAB_HOSHIARPUR,2011,1797,736
5839,PUNJAB_HOSHIARPUR,2012,1783,780
5840,PUNJAB_HOSHIARPUR,2013,1749,652
5841,PUNJAB_HOSHIARPUR,2014,1676,725
5842,PUNJAB_HOSHIARPUR,2015,1647,688
5843,PUNJAB_HOSHIARPUR,2016,1751,746
5844,PUNJAB_HOSHIARPUR,2017,1710,868
5845,PUNJAB_HOSHIARPUR,2018,2127,1094
5846,PUNJAB_JALANDHAR,2004,31,15
5847,PUNJAB_JALANDHAR,2005,1964,779
5848,PUNJAB_JALANDHAR,2006,2528,1024
5849,PUNJAB_JALANDHAR,2007,2819,1039
5850,PUNJAB_JALANDHAR,2008,3074,1173
5851,PUNJAB_JALANDHAR,2009,3137,1321
5852,PUNJAB_JALANDHAR,2010,3436,1319
5853,PUNJAB_JALANDHAR,2011,3366,1290
5854,PUNJAB_JALANDHAR,2012,3423,1279
5855,PUNJAB_JALANDHAR,2013,3548,1357
5856,PUNJAB_JALANDHAR,2014,3646,1322
5857,PUNJAB_JALANDHAR,2015,3652,1245
5858,PUNJAB_JALANDHAR,2016,3332,1176
5859,PUNJAB_JALANDHAR,2017,2865,1225
5860,PUNJAB_JALANDHAR,2018,3388,1565
5876,PUNJAB_LUDHIANA,2002,117,46
5877,PUNJAB_LUDHIANA,2003,3408,1147
5878,PUNJAB_LUDHIANA,2004,4969,1582
5879,PUNJAB_LUDHIANA,2005,4817,1508
5880,PUNJAB_LUDHIANA,2006,4850,1620
5881,PUNJAB_LUDHIANA,2007,5028,1689
5882,PUNJAB_LUDHIANA,2008,5191,1709
5883,PUNJAB_LUDHIANA,2009,5497,1893
5884,PUNJAB_LUDHIANA,2010,5934,2178
5885,PUNJAB_LUDHIANA,2011,5194,1807
5886,PUNJAB_LUDHIANA,2012,5647,2114
5887,PUNJAB_LUDHIANA,2013,5328,2052
5888,PUNJAB_LUDHIANA,2014,5694,1935
5889,PUNJAB_LUDHIANA,2015,5434,1895
5890,PUNJAB_LUDHIANA,2016,5524,1938
5891,PUNJAB_LUDHIANA,2017,5334,1916
5892,PUNJAB_LUDHIANA,2018,8175,3087
5908,PUNJAB_MOGA,2004,31,10
5909,PUNJAB_MOGA,2005,970,402
5910,PUNJAB_MOGA,2006,961,459
5911,PUNJAB_MOGA,2007,970,488
5912,PUNJAB_MOGA,2008,1101,600
5913,PUNJAB_MOGA,2009,1138,614
5914,PUNJAB_MOGA,2010,1282,712
5915,PUNJAB_MOGA,2011,1434,694
5916,PUNJAB_MOGA,2012,1122,501
5917,PUNJAB_MOGA,2013,1066,477
5918,PUNJAB_MOGA,2014,1188,504
5919,PUNJAB_MOGA,2015,1174,493
5920,PUNJAB_MOGA,2016,1138,485
5921,PUNJAB_MOGA,2017,1081,483
5922,PUNJAB_MOGA,2018,983,550
5928,PUNJAB_PATIALA,2001,637,279
5929,PUNJAB_PATIALA,2002,1377,594
5930,PUNJAB_PATIALA,2003,2381,916
5931,PUNJAB_PATIALA,2004,2601,951
5932,PUNJAB_PATIALA,2005,2945,1004
5933,PUNJAB_PATIALA,2006,3417,1269
5934,PUNJAB_PATIALA,2007,2449,961
5935,PUNJAB_PATIALA,2008,3032,1098
5936,PUNJAB_PATIALA,2009,2969,1046
5937,PUNJAB_PATIALA,2010,2997,1060
5938,PUNJAB_PATIALA,2011,2857,988
5939,PUNJAB_PATIALA,2012,2578,971
5940,PUNJAB_PATIALA,2013,2232,911
5941,PUNJAB_PATIALA,2014,2200,962
5942,PUNJAB_PATIALA,2015,3099,1180
5943,PUNJAB_PATIALA,2016,2269,907
5944,PUNJAB_PATIALA,2017,3314,1867
5945,PUNJAB_PATIALA,2018,4505,2453
5946,PUNJAB_RUPNAGAR,2002,16,8
5947,PUNJAB_RUPNAGAR,2003,1145,469
5948,PUNJAB_RUPNAGAR,2004,1370,554
5949,PUNJAB_RUPNAGAR,2005,1390,566
5950,PUNJAB_RUPNAGAR,2006,1530,590
5951,PUNJAB_RUPNAGAR,2007,1255,495
5952,PUNJAB_RUPNAGAR,2008,890,428
5953,PUNJAB_RUPNAGAR,2009,971,495
5954,PUNJAB_RUPNAGAR,2010,1113,535
5955,PUNJAB_RUPNAGAR,2011,1047,476
5956,PUNJAB_RUPNAGAR,2012,923,434
5957,PUNJAB_RUPNAGAR,2013,909,391
5958,PUNJAB_RUPNAGAR,2014,904,409
5959,PUNJAB_RUPNAGAR,2015,894,426
5960,PUNJAB_RUPNAGAR,2016,976,441
5961,PUNJAB_RUPNAGAR,2017,940,477
5962,PUNJAB_RUPNAGAR,2018,857,505
5963,PUNJAB_SAHIBZADAAJITSINGHNAGAR,2007,508,178
5964,PUNJAB_SANGRUR,2003,1786,713
5965,PUNJAB_SANGRUR,2004,2392,806
5966,PUNJAB_SANGRUR,2005,2043,730
5967,PUNJAB_SANGRUR,2006,2573,959
5968,PUNJAB_SANGRUR,2007,2279,911
5969,PUNJAB_SANGRUR,2008,1987,693
5970,PUNJAB_SANGRUR,2009,2278,895
5971,PUNJAB_SANGRUR,2010,2491,942
5972,PUNJAB_SANGRUR,2011,2492,802
5973,PUNJAB_SANGRUR,2012,2688,933
5974,PUNJAB_SANGRUR,2013,2294,815
5975,PUNJAB_SANGRUR,2014,2223,905
5976,PUNJAB_SANGRUR,2015,2253,750
5977,PUNJAB_SANGRUR,2016,2126,725
5978,PUNJAB_SANGRUR,2017,2019,875
5979,PUNJAB_SANGRUR,2018,1968,818
6028,RAJASTHAN_ALWAR,2001,4217,1893
6029,RAJASTHAN_ALWAR,2002,4319,1758
6030,RAJASTHAN_ALWAR,2003,4527,1693
6031,RAJASTHAN_ALWAR,2004,4955,1721
6032,RAJASTHAN_ALWAR,2005,4575,1614
6033,RAJASTHAN_ALWAR,2006,4883,1680
6034,RAJASTHAN_ALWAR,2007,4918,1622
6035,RAJASTHAN_ALWAR,2008,11241,4069
6036,RAJASTHAN_ALWAR,2009,11555,4064
6037,RAJASTHAN_ALWAR,2010,11645,4389
6038,RAJASTHAN_ALWAR,2011,11848,4455
6039,RAJASTHAN_ALWAR,2012,11166,4630
6040,RAJASTHAN_ALWAR,2013,10521,4531
6041,RAJASTHAN_ALWAR,2014,10836,4501
6042,RAJASTHAN_ALWAR,2015,9895,3894
6043,RAJASTHAN_ALWAR,2016,9533,3704
6044,RAJASTHAN_ALWAR,2017,8326,3343
6045,RAJASTHAN_ALWAR,2018,9108,4131
6143,RAJASTHAN_BUNDI,2001,1293,551
6144,RAJASTHAN_BUNDI,2002,1677,676
6145,RAJASTHAN_BUNDI,2003,1773,675
6146,RAJASTHAN_BUNDI,2004,1804,700
6147,RAJASTHAN_BUNDI,2005,1931,683
6148,RAJASTHAN_BUNDI,2006,2014,744
6149,RAJASTHAN_BUNDI,2007,2033,693
6150,RAJASTHAN_BUNDI,2008,2019,707
6151,RAJASTHAN_BUNDI,2009,1907,710
6152,RAJASTHAN_BUNDI,2010,1802,682
6153,RAJASTHAN_BUNDI,2011,1900,769
6154,RAJASTHAN_BUNDI,2012,1635,657
6155,RAJASTHAN_BUNDI,2013,1450,560
6156,RAJASTHAN_BUNDI,2014,1552,555
6157,RAJASTHAN_BUNDI,2015,1478,478
6158,RAJASTHAN_BUNDI,2016,1614,493
6159,RAJASTHAN_BUNDI,2017,1414,483
6160,RAJASTHAN_BUNDI,2018,1784,644
6265,RAJASTHAN_JAIPUR,2001,6843,2414
6266,RAJASTHAN_JAIPUR,2002,9878,3354
6267,RAJASTHAN_JAIPUR,2003,10720,3461
6268,RAJASTHAN_JAIPUR,2004,11325,3573
6269,RAJASTHAN_JAIPUR,2005,11287,3391
6270,RAJASTHAN_JAIPUR,2006,10960,3426
6271,RAJASTHAN_JAIPUR,2007,11055,3239
6272,RAJASTHAN_JAIPUR,2008,17781,6353
6273,RAJASTHAN_JAIPUR,2009,17851,6327
6274,RAJASTHAN_JAIPUR,2010,18058,6476
6275,RAJASTHAN_JAIPUR,2011,19515,7126
6276,RAJASTHAN_JAIPUR,2012,16460,6063
6277,RAJASTHAN_JAIPUR,2013,15123,5674
6278,RAJASTHAN_JAIPUR,2014,14673,5361
6279,RAJASTHAN_JAIPUR,2015,14433,5120
6280,RAJASTHAN_JAIPUR,2016,14177,5108
6281,RAJASTHAN_JAIPUR,2017,15087,5649
6282,RAJASTHAN_JAIPUR,2018,23522,11520
6355,RAJASTHAN_JODHPUR,2001,2106,637
6356,RAJASTHAN_JODHPUR,2002,3459,1121
6357,RAJASTHAN_JODHPUR,2003,3431,1111
6358,RAJASTHAN_JODHPUR,2004,3856,1407
6359,RAJASTHAN_JODHPUR,2005,3413,1196
6360,RAJASTHAN_JODHPUR,2006,4219,1565
6361,RAJASTHAN_JODHPUR,2007,4559,1560
6362,RAJASTHAN_JODHPUR,2008,4636,1561
6363,RAJASTHAN_JODHPUR,2009,4277,1359
6364,RAJASTHAN_JODHPUR,2010,4849,1775
6365,RAJASTHAN_JODHPUR,2011,4939,1706
6366,RAJASTHAN_JODHPUR,2012,4299,1384
6367,RAJASTHAN_JODHPUR,2013,4101,1138
6368,RAJASTHAN_JODHPUR,2014,3800,922
6369,RAJASTHAN_JODHPUR,2015,3658,846
6370,RAJASTHAN_JODHPUR,2016,3389,837
6371,RAJASTHAN_JODHPUR,2017,3774,1007
6372,RAJASTHAN_JODHPUR,2018,5753,2426
6391,RAJASTHAN_KOTA,2001,2191,769
6392,RAJASTHAN_KOTA,2002,2391,850
6393,RAJASTHAN_KOTA,2003,2539,974
6394,RAJASTHAN_KOTA,2004,2805,1097
6395,RAJASTHAN_KOTA,2005,3026,1130
6396,RAJASTHAN_KOTA,2006,3105,1167
6397,RAJASTHAN_KOTA,2007,3536,1286
6398,RAJASTHAN_KOTA,2008,3501,1260
6399,RAJASTHAN_KOTA,2009,3210,1116
6400,RAJASTHAN_KOTA,2010,3127,1157
6401,RAJASTHAN_KOTA,2011,3191,1134
6402,RAJASTHAN_KOTA,2012,2961,1050
6403,RAJASTHAN_KOTA,2013,2617,899
6404,RAJASTHAN_KOTA,2014,2910,945
6405,RAJASTHAN_KOTA,2015,2717,842
6406,RAJASTHAN_KOTA,2016,2708,863
6407,RAJASTHAN_KOTA,2017,2316,752
6408,RAJASTHAN_KOTA,2018,4141,1501
6540,RAJASTHAN_UDAIPUR,2001,4923,2288
6541,RAJASTHAN_UDAIPUR,2002,5608,2580
6542,RAJASTHAN_UDAIPUR,2003,5458,2377
6543,RAJASTHAN_UDAIPUR,2004,6008,2569
6544,RAJASTHAN_UDAIPUR,2005,6744,2824
6545,RAJASTHAN_UDAIPUR,2006,6347,2770
6546,RAJASTHAN_UDAIPUR,2007,6783,2801
6597,TAMILNADU_CHENNAI,2001,4544,1734
6598,TAMILNADU_CHENNAI,2002,6438,2158
6599,TAMILNADU_CHENNAI,2003,6955,2318
6600,TAMILNADU_CHENNAI,2004,7366,2746
6601,TAMILNADU_CHENNAI,2005,7368,2860
6602,TAMILNADU_CHENNAI,2006,7151,2782
6603,TAMILNADU_CHENNAI,2007,6621,2582
6604,TAMILNADU_CHENNAI,2008,6184,2536
6605,TAMILNADU_CHENNAI,2009,6394,2426
6606,TAMILNADU_CHENNAI,2010,6747,2503
6607,TAMILNADU_CHENNAI,2011,6649,2340
6608,TAMILNADU_CHENNAI,2012,6429,2544
6609,TAMILNADU_CHENNAI,2013,5845,2335
6610,TAMILNADU_CHENNAI,2014,7320,2778
6611,TAMILNADU_CHENNAI,2015,7894,2904
6612,TAMILNADU_CHENNAI,2016,7735,3104
6613,TAMILNADU_CHENNAI,2017,7419,3441
6614,TAMILNADU_CHENNAI,2018,9005,4550
6615,TAMILNADU_COIMBATORE,2001,758,283
6616,TAMILNADU_COIMBATORE,2002,4323,1582
6617,TAMILNADU_COIMBATORE,2003,4832,2165
6618,TAMILNADU_COIMBATORE,2004,5601,2620
