Location,Year,Quarter,totalcases,newsmearpositivecases,rainfall,Humidity,temp,so2,no2,rspm
ANDHRAPRADESH_CHITTOOR,2012,2,1154,583,147.2,55.1586595,31.46051972,4.326719577,14.5026455,57.61375662
ANDHRAPRADESH_CHITTOOR,2012,3,1095,560,365.4,68.64844444,29.0238172,4.2,12.2,48.46230769
ANDHRAPRADESH_CHITTOOR,2012,4,1171,582,398.8,78.95210394,25.52482079,4.101851852,11.8162963,55.08777778
ANDHRAPRADESH_CHITTOOR,2013,1,1172,582,42.1,62.93887481,25.90481951,4.0625,9.0625,43.75
ANDHRAPRADESH_CHITTOOR,2013,2,1151,599,102.9,58.86624014,31.20550179,4.129310345,9.163793104,48.68965518
ANDHRAPRADESH_CHITTOOR,2013,3,976,490,430.7,75.34834767,28.0199104,4.205357143,9.232142857,46.57142858
ANDHRAPRADESH_CHITTOOR,2013,4,1018,516,260.4,81.20655556,25.49655914,4.239130435,9.423913044,52
ANDHRAPRADESH_CHITTOOR,2014,1,1140,562,19.1,60.08160906,26.02951229,4.869047619,12.55952381,67
ANDHRAPRADESH_CHITTOOR,2014,2,1202,594,163.5,56.70328316,31.48270609,5,13.21428571,66.4047619
ANDHRAPRADESH_CHITTOOR,2014,3,1156,589,271.3,69.21482796,29.14146954,5.153846154,12.55128205,62.47435897
ANDHRAPRADESH_CHITTOOR,2014,4,1136,590,368.6,80.11705018,25.49050179,5.171052632,12.51315789,59.35526316
ANDHRAPRADESH_CHITTOOR,2015,1,1130,554,18.8,63.61043395,26.04514209,4.944444445,11.67592593,62.25925926
ANDHRAPRADESH_CHITTOOR,2015,2,1226,609,205.8,63.94420071,30.68874552,4.935185186,11.65740741,67.35185186
ANDHRAPRADESH_CHITTOOR,2015,3,1087,575,328.8,69.42753405,29.45028674,4.833333334,11.38888889,69.23148148
ANDHRAPRADESH_CHITTOOR,2015,4,1119,618,903.3,85.26730107,25.26148745,4.457692308,12.95961539,58.79358975
ANDHRAPRADESH_CHITTOOR,2016,1,1251,671,14.6,68.79117538,26.52098258,6.054546,26.4619195,61.5449565
ANDHRAPRADESH_CHITTOOR,2016,2,1186,644,287.8,59.93200358,31.40450179,5.994114,26.1804365,61.021284
ANDHRAPRADESH_CHITTOOR,2016,3,1155,614,242,71.26359857,28.97621147,5.986284,26.7638605,61.9357275
ANDHRAPRADESH_CHITTOOR,2016,4,1082,597,184.7,65.20974193,26.1126828,5.972466,26.659318,62.2572495
ANDHRAPRADESH_CHITTOOR,2017,1,1145,662,43.2,60.23118279,26.22774578,5.045455,43.936772,68.5500735
ANDHRAPRADESH_CHITTOOR,2017,2,1135,599,141.3,55.18450896,32.19378136,4.995095,43.469404,67.966796
ANDHRAPRADESH_CHITTOOR,2017,3,977,555,548.2,75.91199642,28.93121864,4.98857,44.438108,68.9853225
ANDHRAPRADESH_CHITTOOR,2017,4,1021,593,422.3,85.71304301,25.49191756,4.977055,44.264528,69.3434405
ANDHRAPRADESH_CHITTOOR,2018,1,1087,570,40.9,62.70579493,25.58394009,5.5500005,23.4662305,62.045322
ANDHRAPRADESH_CHITTOOR,2018,2,1243,685,146.9,60.44491398,31.31376165,5.4946045,23.2166135,61.517392
ANDHRAPRADESH_CHITTOOR,2018,3,1332,714,216.5,66.40992473,29.51289785,5.487427,23.7339895,62.43927
ANDHRAPRADESH_CHITTOOR,2018,4,1327,691,199,75.92819713,26.12518459,5.4747605,23.641282,62.763406
ANDHRAPRADESH_EASTGODAVARI,2012,1,3349,1550,33.1,59.8944531,26.68978495,8.202183324,24.8444625,57.46428571
ANDHRAPRADESH_EASTGODAVARI,2012,2,3319,1503,198.7,64.99673835,32.10774194,6.381092247,23.07298096,59.7
ANDHRAPRADESH_EASTGODAVARI,2012,3,3333,1524,977.3,88.66332258,27.92679212,7.024749529,8.878776218,56.23809524
ANDHRAPRADESH_EASTGODAVARI,2012,4,3371,1523,459.7,82.28294982,25.76905018,8.85120361,18.52324917,58.95454545
ANDHRAPRADESH_EASTGODAVARI,2013,1,3332,1490,19.1,64.65325653,26.37801459,15.57142857,20.5,72.37169312
ANDHRAPRADESH_EASTGODAVARI,2013,2,3184,1405,238.5,67.23442652,31.56451613,8.5,13.41666667,62.45370371
ANDHRAPRADESH_EASTGODAVARI,2013,3,2894,1344,592.5,86.25173118,28.3628853,10.77922078,15.65692641,56.4
ANDHRAPRADESH_EASTGODAVARI,2013,4,2989,1397,361,83.84949821,25.45206093,15.075,21.625,60.35869565
ANDHRAPRADESH_EASTGODAVARI,2014,1,3050,1435,18.3,66.72169355,26.68494624,11.77777778,18.37037037,65.07407407
ANDHRAPRADESH_EASTGODAVARI,2014,2,3125,1486,178.6,62.71631541,32.23824373,10.42307692,16.73076923,62.88461538
ANDHRAPRADESH_EASTGODAVARI,2014,3,3202,1489,623.3,83.18537635,29.40069892,10.07407407,17,61
ANDHRAPRADESH_EASTGODAVARI,2014,4,3294,1584,156.1,74.56980645,26.16446237,10.18518519,18.33333333,66.7037037
ANDHRAPRADESH_EASTGODAVARI,2015,1,3025,1444,7.8,60.14491935,24.73680875,8.518518518,19.05555555,61.44444445
ANDHRAPRADESH_EASTGODAVARI,2015,2,2967,1506,276.4,68.52669176,29.02815412,7.130434783,18.04347826,62.56521739
ANDHRAPRADESH_EASTGODAVARI,2015,3,2837,1357,492.9,87.72095699,27.7589785,6.74,17.12,61.06
ANDHRAPRADESH_EASTGODAVARI,2015,4,3063,1484,303.2,80.39874552,25.20360215,7.62962963,20,63.62962963
ANDHRAPRADESH_EASTGODAVARI,2016,1,3204,1636,18.4,62.83986652,27.74049314,15.805168,20.9468351,89.83071
ANDHRAPRADESH_EASTGODAVARI,2016,2,3007,1581,383.2,68.37246595,31.66349821,16.511872,21.5630817,89.63118
ANDHRAPRADESH_EASTGODAVARI,2016,3,2895,1439,548.5,88.98455914,29.21878853,16.20272,21.3138485,90.76653
ANDHRAPRADESH_EASTGODAVARI,2016,4,2801,1410,88.8,74.51539068,26.53229212,15.76816,20.802279,89.84529
ANDHRAPRADESH_EASTGODAVARI,2017,1,3160,1715,17.9,62.04373272,26.83218126,7.902584,20.9468351,75.857044
ANDHRAPRADESH_EASTGODAVARI,2017,2,3019,1775,257.7,67.10603226,31.53586022,8.255936,21.5630817,75.688552
ANDHRAPRADESH_EASTGODAVARI,2017,3,2912,1552,568.3,88.75873477,29.01704301,8.10136,21.3138485,76.647292
ANDHRAPRADESH_EASTGODAVARI,2017,4,2760,1509,133,79.54098208,26.37546595,7.88408,20.802279,75.869356
ANDHRAPRADESH_EASTGODAVARI,2018,1,2692,1455,0.8,57.38106759,26.32668779,8.890407,20.9468351,103.804376
ANDHRAPRADESH_EASTGODAVARI,2018,2,2594,1503,248.3,69.38803584,31.48876702,9.287928,21.5630817,103.573808
ANDHRAPRADESH_EASTGODAVARI,2018,3,2592,1394,806.3,87.7264767,28.38495878,9.11403,21.3138485,104.885768
ANDHRAPRADESH_EASTGODAVARI,2018,4,2711,1356,120.2,78.45150538,26.80674194,8.86959,20.802279,103.821224
ANDHRAPRADESH_GUNTUR,2009,1,1846,803,12.4,59.13483871,26.49900154,4,9,87.8
ANDHRAPRADESH_GUNTUR,2009,2,1854,798,138.6,58.43145878,31.8077957,4,9,85.25
ANDHRAPRADESH_GUNTUR,2009,3,1987,915,269.4,72.91481362,29.1740681,4,9,88.78571429
ANDHRAPRADESH_GUNTUR,2009,4,1997,860,256,77.40055197,25.97340502,4,9,83.11764706
ANDHRAPRADESH_GUNTUR,2010,1,1992,875,7.8,61.04084485,27.06831797,2,11.86206897,84.65517241
ANDHRAPRADESH_GUNTUR,2010,2,1966,892,300.2,59.60610036,32.81890681,2,11.29166667,83.66666667
ANDHRAPRADESH_GUNTUR,2010,3,2039,875,798.8,82.78937634,28.32159498,2,10.95833333,77.625
ANDHRAPRADESH_GUNTUR,2010,4,2054,881,243.8,85.49764158,25.91078853,2,10.96,77.68
ANDHRAPRADESH_GUNTUR,2011,1,1959,906,27.8,66.13689324,25.98206605,4.058333333,10.69166667,74.16666667
ANDHRAPRADESH_GUNTUR,2011,2,1894,884,132.6,55.69996774,32.13967742,3.858333333,9.970833333,73.5
ANDHRAPRADESH_GUNTUR,2011,3,1852,816,458.6,73.6967491,29.6778853,3.447058824,9.852941176,74.58823529
ANDHRAPRADESH_GUNTUR,2011,4,1879,820,87.9,67.72324014,26.71374552,4.05,9.525,74.875
ANDHRAPRADESH_GUNTUR,2012,1,1857,856,57.2,58.3613756,26.33519585,5.538461538,10.96153846,75.73076923
ANDHRAPRADESH_GUNTUR,2012,2,1837,868,145,53.48814337,32.97548387,5.777777778,11.18518519,74.62962963
ANDHRAPRADESH_GUNTUR,2012,3,1810,811,492.1,76.19056989,30.02041218,5.576923077,10.84615385,74.57692308
ANDHRAPRADESH_GUNTUR,2012,4,1799,835,316.6,79.63000717,26.42394265,4.923076923,13.23076923,75.26923077
ANDHRAPRADESH_GUNTUR,2013,1,1813,901,87.8,62.23370968,26.60958141,4.592592593,18,79.03703704
ANDHRAPRADESH_GUNTUR,2013,2,1704,813,182.9,58.26283154,32.63306452,4.185185185,16.81481481,74.18518519
ANDHRAPRADESH_GUNTUR,2013,3,1478,739,561.8,78.8455914,29.05784946,4.214285714,15.53571429,70.35714286
ANDHRAPRADESH_GUNTUR,2013,4,1617,751,448.9,82.72882437,26.23329749,4.75,16.8,76.2
ANDHRAPRADESH_GUNTUR,2014,1,1793,826,11.9,62.93810292,26.19946237,4.851851852,21.44444444,77.55555556
ANDHRAPRADESH_GUNTUR,2014,2,1755,858,65.3,51.88664158,33.55109319,4.75,23.53571429,77.60714286
ANDHRAPRADESH_GUNTUR,2014,3,1776,874,413.9,73.34848029,30.54048387,4.961538462,23.15384615,76.57692308
ANDHRAPRADESH_GUNTUR,2014,4,1760,831,228.5,75.22778495,26.37817204,4.846153846,22.23076923,84.76923077
ANDHRAPRADESH_GUNTUR,2015,1,1604,773,9,58.84855607,25.65750768,4.888888889,24.85185185,111.9259259
ANDHRAPRADESH_GUNTUR,2015,2,1536,699,220.5,58.51910394,31.50955197,4.96,24.72,107.96
ANDHRAPRADESH_GUNTUR,2015,3,1567,725,468.2,72.47956989,29.89188172,5,25.92592593,90.92592593
ANDHRAPRADESH_GUNTUR,2015,4,1747,816,115.2,72.95011828,26.84621864,5,26.875,88.625
ANDHRAPRADESH_GUNTUR,2016,1,1689,842,2.6,59.14579162,27.1371802,5.03648,29.08874,86.593936
ANDHRAPRADESH_GUNTUR,2016,2,1574,774,294,61.08605376,32.20079391,5.118605,29.283417,86.558384
