Sr. No.,Location,Spread rate
142,ODISHA_KENDUJHAR(KEONJHAR),-0.05
143,TELANGANA_MEDAK,-0.06
144,TAMILNADU_CUDDALORE,-0.06
145,HIMACHALPRADESH_KANGRA,-0.08
146,TAMILNADU_THOOTHUKUDI,-0.08
147,KERALA_THRISSUR,-0.08
148,TELANGANA_NIZAMABAD,-0.08
149,ARUNACHALPRADESH_PAPUMPARE,-0.09
150,TAMILNADU_TIRUCHIRAPPALLI,-0.09
151,KERALA_WAYANAD,-0.1
152,KERALA_KOTTAYAM,-0.1
153,MAHARASHTRA_JALNA,-0.11
154,PUNJAB_HOSHIARPUR,-0.11
155,ASSAM_BONGAIGAON,-0.11
156,WESTBENGAL_SOUTH24PARGANAS,-0.11
157,WESTBENGAL_BANKURA,-0.11
158,HIMACHALPRADESH_MANDI,-0.11
159,ODISHA_SAMBALPUR,-0.11
160,UTTARPRADESH_MORADABAD,-0.12
161,ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE,-0.12
162,MAHARASHTRA_RAIGAD,-0.13
163,DAMANANDDIU_DAMAN,-0.14
164,WESTBENGAL_PASCHIMBARDHAMAN,-0.14
165,ANDHRAPRADESH_KRISHNA,-0.15
166,ASSAM_LAKHIMPUR,-0.16
167,ODISHA_SUNDARGARH,-0.16
168,MADHYAPRADESH_SAGAR,-0.16
169,ANDHRAPRADESH_PRAKASAM,-0.17
170,MAHARASHTRA_SANGLI,-0.17
171,ODISHA_JHARSUGUDA,-0.17
172,GUJARAT_VALSAD,-0.17
173,KERALA_PATHANAMTHITTA,-0.18
174,UTTARPRADESH_UNNAO,-0.18
175,HIMACHALPRADESH_UNA,-0.19
176,ANDHRAPRADESH_EASTGODAVARI,-0.19
177,BIHAR_SAMASTIPUR,-0.19
178,WESTBENGAL_NADIA,-0.19
179,MANIPUR_IMPHALWEST,-0.21
180,DADRAANDNAGARHAVELI_DADRAANDNAGARHAVELI,-0.21
181,ODISHA_GANJAM,-0.21
182,PUNJAB_SANGRUR,-0.22
183,KERALA_PALAKKAD,-0.22
184,MAHARASHTRA_AHMEDNAGAR,-0.23
185,PUNJAB_AMRITSAR,-0.24
186,HARYANA_YAMUNANAGAR,-0.25
187,HIMACHALPRADESH_KULLU,-0.25
188,NAGALAND_WOKHA,-0.25
189,MAHARASHTRA_JALGAON,-0.25
190,MAHARASHTRA_RATNAGIRI,-0.27
191,MAHARASHTRA_KOLHAPUR,-0.29
192,KERALA_KOLLAM,-0.32
193,WESTBENGAL_NORTH24PARGANAS,-0.32
194,TELANGANA_KHAMMAM,-0.32
195,PUNJAB_FATEHGARHSAHIB,-0.32
196,KARNATAKA_MANDYA,-0.33
197,PUNJAB_MOGA,-0.34
198,KERALA_ERNAKULAM,-0.36
199,ASSAM_KARIMGANJ,-0.4
200,UTTARAKHAND_RUDRAPRAYAG,-0.41
201,PUNJAB_GURDASPUR,-0.41
202,KARNATAKA_HASSAN,-0.42
203,PUNJAB_RUPNAGAR,-0.42
204,KERALA_MALAPPURAM,-0.42
205,MIZORAM_LUNGLEI,-0.43
206,ASSAM_NALBARI,-0.44
207,ODISHA_JAGATSINGHPUR,-0.44
208,KERALA_ALAPPUZHA,-0.47
209,ODISHA_BOUDH(BAUDA),-0.56
210,TELANGANA_NALGONDA,-0.56
211,TELANGANA_KARIMNAGAR,-0.58
212,ASSAM_DARRANG,-0.68
213,WESTBENGAL_KOLKATA,-1
214,MAHARASHTRA_MUMBAICITY,-1
