Location,spread_rate,
PUNJAB_FARIDKOT',-0.039711191,
KARNATAKA_KOLAR',-0.039893617,
WESTBENGAL_MURSHIDABAD',-0.042235218,
JHARKHAND_JAMTARA',-0.047169811,
WESTBENGAL_MALDAH',-0.048957389,
ODISHA_KENDUJHAR(KEONJHAR)',-0.054380665,
TELANGANA_MEDAK',-0.060734463,
TAMILNADU_CUDDALORE',-0.061627907,
HIMACHALPRADESH_KANGRA',-0.076,
TAMILNADU_THOOTHUKUDI',-0.080614203,
KERALA_THRISSUR',-0.082539683,
TELANGANA_NIZAMABAD',-0.083333333,
ARUNACHALPRADESH_PAPUMPARE',-0.086363636,
TAMILNADU_TIRUCHIRAPPALLI',-0.094382022,
KERALA_WAYANAD',-0.096774194,
KERALA_KOTTAYAM',-0.099415205,
MAHARASHTRA_JALNA',-0.105263158,
PUNJAB_HOSHIARPUR',-0.105670103,
ASSAM_BONGAIGAON',-0.107476636,
WESTBENGAL_SOUTH24PARGANAS',-0.107526882,
WESTBENGAL_BANKURA',-0.110244989,
HIMACHALPRADESH_MANDI',-0.112903226,
ODISHA_SAMBALPUR',-0.113772455,
UTTARPRADESH_MORADABAD',-0.117647059,
ANDHRAPRADESH_SRIPOTTISRIRAMULUNELLORE',-0.118200837,
MAHARASHTRA_RAIGAD',-0.131929047,
DAMANANDDIU_DAMAN',-0.1375,
WESTBENGAL_PASCHIMBARDHAMAN',-0.144268775,
ANDHRAPRADESH_KRISHNA',-0.148024113,
ASSAM_LAKHIMPUR,-0.155844156,
ODISHA_SUNDARGARH',-0.157068063,
MADHYAPRADESH_SAGAR',-0.164251208,
ANDHRAPRADESH_PRAKASAM',-0.166949153,
MAHARASHTRA_SANGLI',-0.170409511,
ODISHA_JHARSUGUDA',-0.170731707,
GUJARAT_VALSAD',-0.17403709,
KERALA_PATHANAMTHITTA',-0.183453237,
UTTARPRADESH_UNNAO',-0.18411215,
HIMACHALPRADESH_UNA',-0.186813187,
ANDHRAPRADESH_EASTGODAVARI',-0.190504628,
BIHAR_SAMASTIPUR',-0.193500739,
WESTBENGAL_NADIA',-0.194308145,
MANIPUR_IMPHALWEST',-0.205263158,
DADRAANDNAGARHAVELI_DADRAANDNAGARHAVELI',-0.210526316,
ODISHA_GANJAM',-0.21353747,
PUNJAB_SANGRUR',-0.219554031,
KERALA_PALAKKAD',-0.223880597,
MAHARASHTRA_AHMEDNAGAR',-0.231707317,
PUNJAB_AMRITSAR,-0.236363636,
HARYANA_YAMUNANAGAR',-0.245762712,
HIMACHALPRADESH_KULLU',-0.249211357,
NAGALAND_WOKHA',-0.25,
MAHARASHTRA_JALGAON',-0.251433251,
MAHARASHTRA_RATNAGIRI',-0.266763848,
MAHARASHTRA_KOLHAPUR',-0.287619048,
KERALA_KOLLAM',-0.317604356,
WESTBENGAL_NORTH24PARGANAS',-0.321881485,
TELANGANA_KHAMMAM',-0.32348367,
