Year,2006,,2011,,2016,,2021,,2025,
Location,total_rate,smear_rate,total_rate,smear_rate,total_rate,smear_rate,total_rate,smear_rate,total_rate,smear_rate
GUJARAT_GANDHINAGAR,-0.3265,-0.2271,-0.0909,0.0071,0.1669,0.0247,0.2491,0.0436,-0.0072,-0.0154
GUJARAT_JAMNAGAR,0.1958,0.4865,0.0101,0.0078,-0.2921,-0.2345,0.4338,0.1886,-0.0025,0.0047
GUJARAT_RAJKOT,0.3621,0.7135,-0.0153,0.0972,-0.0543,-0.0964,0.0777,0.0041,0.0069,0.0056
GUJARAT_SURAT,2.8432,1.9715,0.3703,0.5701,0.1516,0.3179,-0.1388,-0.2469,-0.0008,-0.0003
GUJARAT_VADODARA,1.1447,1.0598,-0.0729,0.0396,0.1902,0.211,-0.1146,-0.1777,-0.0082,-0.0059
GUJARAT_VALSAD,0.1306,0.2582,-0.4225,-0.3297,0.2263,0.1815,-0.0161,-0.0945,0.0149,0.001
HARYANA_BHIWANI,0.2988,0.0732,-0.2892,-0.215,0.3204,0.1881,-0.1119,-0.004,-0.0108,-0.0161
HARYANA_FARIDABAD,0.3036,0.1204,-0.1512,-0.311,0.2598,0.2614,-0.1778,-0.0567,0.0117,-0.0049
HARYANA_PANCHKULA,-0.7611,-0.7317,0.303,0.321,0.0595,-0.1034,0.0764,0.4798,0.0351,0.0253
HARYANA_YAMUNANAGAR,0.0402,0.2094,-,-,-,-,0.0712,-0.0357,0.0283,-0.0563
HIMACHALPRADESH_KANGRA,0.1412,0.2487,0.0419,-0.0571,-0.0138,0.2035,0.0703,-0.1179,0.0145,-0.0062
HIMACHALPRADESH_KULLU,1.0658,0.9291,-0.1193,-0.3714,0.0169,0.0747,0.0659,0.0604,0.0732,0.0883
HIMACHALPRADESH_MANDI,-0.1235,-0.0656,-0.0034,-0.106,0.0541,0.0914,0.018,-0.0366,-0.0032,-0.0068
HIMACHALPRADESH_SHIMLA,0.6144,0.8193,-0.0876,-0.0788,0.0161,0,0.0711,0.0112,0.0717,0.046
HIMACHALPRADESH_SIRMAUR,0.1265,-0.0145,0.1309,0.1147,0.0646,0.0792,0.077,-0.0196,0.106,0.0424
HIMACHALPRADESH_SOLAN,0.2656,0.1263,0.3084,0.0584,0.0911,0.2384,-0.0876,-0.1872,0.0053,0.0066
HIMACHALPRADESH_UNA,0.4076,0.4525,0.1026,0.4,-0.0629,-0.1181,0.238,0.1464,0.2818,0.1413
JHARKHAND_DHANBAD,1.2521,1.4857,0.2165,0.4626,-0.2408,-0.4198,0.188,0.4199,-0.0041,-0.0127
JHARKHAND_RANCHI,0.7198,0.7532,-0.135,-0.1066,-0.2557,-0.1966,0.281,0.2154,-0.019,-0.0128
KARNATAKA_BIDAR,-0.5792,-0.6257,0.8727,0.8286,-0.1806,-0.1964,0.044,0.0458,-0.0062,-0.0053
KARNATAKA_CHITRADURGA,-0.1832,-0.1934,0.1265,-0.0139,-0.1311,0.004,0.1768,-0.026,0.0184,0.0164
KARNATAKA_DAKSHINAKANNADA,-0.1238,-0.0809,-0.1208,-0.1254,-0.167,-0.0214,0.1918,0.027,0.0393,-0.0013
KARNATAKA_DAVANAGERE,1.4953,1.3925,-0.0769,0.0157,-0.1897,-0.1206,0.1218,0.0805,0.0055,0.0023
KARNATAKA_DHARWAD,0.0322,-0.1789,-0.131,0.133,-0.2032,-0.1348,0.2703,0.039,-0.0071,-0.0097
KARNATAKA_HASSAN,-0.0753,-0.0084,-0.0018,0.0622,-0.2452,-0.1345,0.2177,0.1662,0.0421,0.0633
KARNATAKA_HAVERI,-0.0218,-0.2159,0.5292,0.4525,-0.2808,-0.1939,0.0687,0.0122,-0.0027,-0.0013
KARNATAKA_KOLAR,0.7756,1.0414,-0.5293,-0.5534,-0.0227,0.1906,-0.0093,-0.1133,-0.002,0
KARNATAKA_MANDYA,0.6678,0.512,-0.1969,-0.1194,-0.2271,-0.1886,0.1402,0.0117,0.0133,0.0181
KARNATAKA_RAICHUR,0.0066,-0.0861,0.1504,0.0749,-0.1517,-0.043,0.1522,0.1069,0.0172,0.0065
KERALA_ALAPPUZHA,0.1041,-0.0099,0.0567,0.1712,-0.3432,-0.2521,0.2235,0.2378,0.0109,0.0368
KERALA_ERNAKULAM,-0.1285,-0.0461,0.0459,0.0568,-0.2129,-0.0771,0.1721,0.0835,-0.0216,-0.0188
KERALA_KOLLAM,-0.0247,-0.0899,0.0898,0.0795,-0.1357,-0.0021,0.1143,0.0622,0.0374,0.0258
KERALA_KOTTAYAM,0.004,0.1578,0.016,-0.0282,-0.1612,-0.0423,0.121,0.0846,-0.006,0.0093
KERALA_KOZHIKODE,0.2955,0.3676,-0.0475,-0.1258,-0.3687,-0.2177,0.4093,0.2547,-0.0094,-0.0163
KERALA_PALAKKAD,-0.0039,0.0794,0.0919,0.0632,-0.0045,0.0634,-0.0515,-0.0431,-0.0226,-0.0201
KERALA_THIRUVANANTHAPURAM,0.3367,0.2488,-0.0199,0.1182,-0.1702,-0.1382,0.1857,0.1217,0.0016,0.0078
KERALA_WAYANAD,0.4433,0.2444,0.0058,-0.1571,-0.1187,0.0212,0.0181,-0.0166,0.0258,0.0042
MADHYAPRADESH_BHOPAL,0.2696,0.147,0.3069,0.3623,0.287,0.1852,-0.1808,-0.2094,0.0185,0.0016
MADHYAPRADESH_CHHATARPUR,-0.5794,-0.689,0.5696,2.9543,-0.0131,-0.1367,-0.1605,-0.0892,-0.0224,-0.0139
MADHYAPRADESH_DEWAS,-0.4166,-0.5853,0.1265,0.5828,0.4028,0.1677,-0.2172,-0.243,0.0229,0.0185
MADHYAPRADESH_DHAR,0.1103,0.0658,0.412,0.3837,0.4054,0.415,-0.283,-0.0262,0.0015,-0.0007
MADHYAPRADESH_GWALIOR,-0.0287,-0.2386,0.1197,0.0752,0.3203,0.2401,-0.2203,-0.1875,-0.0136,-0.0109
MADHYAPRADESH_INDORE,0.1849,0.1158,-,-,-,-,-0.1119,-0.1053,-0.0081,-0.0152
