,Year,Total Cases Spread rate
0,2001,0.0
1,2002,0.006
2,2003,0.0825
3,2004,0.1114
4,2005,-0.0732
5,2006,0.0659
6,2007,0.0547
7,2008,0.0176
8,2009,0.0275
9,2010,-0.0286
10,2011,-0.057
11,2012,-0.11
12,2013,0.0019
13,2014,-0.1575
14,2015,-0.0754
15,2016,0.0192
16,2017,0.0865
17,2018,0.0867
18,2019,0.2672
19,2020,0.0055
20,2021,-0.0012
21,2022,-0.0004
22,2023,0.0
23,2024,0.0004
24,2025,0.0
