Sr. No.,State-District,Spread rate
148,TELANGANA NIZAMABAD,-0.08
149,ARUNACHAL PRADESH PAPUMPARE,-0.09
150,TAMILNADU TIRUCHIRAPPALLI,-0.09
151,KERALA WAYANAD,-0.1
152,KERALA KOTTAYAM,-0.1
153,MAHARASHTRA JALNA,-0.11
154,PUNJAB HOSHIARPUR,-0.11
155,ASSAM BONGAIGAON,-0.11
156,WESTBENGAL SOUTH 24 PARGANAS,-0.11
157,WESTBENGAL BANKURA,-0.11
158,HIMACHAL PRADESH MANDI,-0.11
159,ODISHA SAMBALPUR,-0.11
160,UTTARPRADESH MORADABAD,-0.12
161,ANDHRAPRADESH SRIPOTTISRIRAMULUNELLORE,-0.12
162,MAHARASHTRA RAIGAD,-0.13
163,DAMAN AND DIU DAMAN,-0.14
164,WESTBENGAL PASCHIMBARDHAMAN,-0.14
165,ANDHRAPRADESH KRISHNA,-0.15
166,ASSAM LAKHIMPUR,-0.16
167,ODISHA SUNDARGARH,-0.16
168,MADHYAPRADESH SAGAR,-0.16
169,ANDHRAPRADESH PRAKASAM,-0.17
170,MAHARASHTRA SANGLI,-0.17
171,ODISHA JHARSUGUDA,-0.17
172,GUJARAT VALSAD,-0.17
173,KERALA PATHANAMTHITTA,-0.18
174,UTTARPRADESH UNNAO,-0.18
175,HIMACHAL PRADESH UNA,-0.19
176,ANDHRAPRADESH EASTGODAVARI,-0.19
177,BIHAR SAMASTIPUR,-0.19
178,WESTBENGAL NADIA,-0.19
179,MANIPUR IMPHAL WEST,-0.21
180,DADRAANDNAGARHAVELI DADRAANDNAGARHAVELI,-0.21
181,ODISHA GANJAM,-0.21
182,PUNJAB SANGRUR,-0.22
183,KERALA PALAKKAD,-0.22
184,MAHARASHTRA AHMEDNAGAR,-0.23
185,PUNJAB AMRITSAR,-0.24
186,HARYANA YAMUNANAGAR,-0.25
187,HIMACHALPRADESH KULLU,-0.25
188,NAGALAND WOKHA,-0.25
189,MAHARASHTRA JALGAON,-0.25
190,MAHARASHTRA RATNAGIRI,-0.27
191,MAHARASHTRA KOLHAPUR,-0.29
192,KERALA KOLLAM,-0.32
193,WEST BENGAL NORTH 24 PARGANAS,-0.32
194,TELANGANA KHAMMAM,-0.32
195,PUNJAB FATEHGARH SAHIB,-0.32
196,KARNATAKA MANDYA,-0.33
197,PUNJAB MOGA,-0.34
198,KERALA ERNAKULAM,-0.36
199,ASSAM KARIMGANJ,-0.4
200,UTTARAKHAND RUDRAPRAYAG,-0.41
201,PUNJAB GURDASPUR,-0.41
202,KARNATAKA HASSAN,-0.42
203,PUNJAB RUPNAGAR,-0.42
204,KERALA MALAPPURAM,-0.42
205,MIZORAM LUNGLEI,-0.43
206,ASSAM NALBARI,-0.44
207,ODISHA JAGATSINGHPUR,-0.44
208,KERALA ALAPPUZHA,-0.47
209,ODISHA BOUDH(BAUDA),-0.56
210,TELANGANA NALGONDA,-0.56
211,TELANGANA KARIMNAGAR,-0.58
212,ASSAM DARRANG,-0.68
213,WESTBENGAL KOLKATA,-1
214,MAHARASHTRA MUMBAI CITY,-1
