,Year,Total Cases Spread rate
0,2001,0.0
1,2002,-0.0004
2,2003,0.1879
3,2004,0.076
4,2005,0.0563
5,2006,-0.0283
6,2007,0.0259
7,2008,-0.2087
8,2009,-0.0399
9,2010,-0.0136
10,2011,-0.0456
11,2012,0.0491
12,2013,0.0025
13,2014,-0.002
14,2015,0.0585
15,2016,0.0725
16,2017,0.0236
17,2018,-0.0142
18,2019,-0.0788
19,2020,-0.0125
20,2021,0.0032
21,2022,0.001
22,2023,-0.0017
23,2024,0.0002
24,2025,-0.0005
