,Year,Total Cases Spread rate
0,2001,0.0
1,2002,0.1818
2,2003,0.0185
3,2004,0.0261
4,2005,-0.0361
5,2006,-0.0413
6,2007,0.0351
7,2008,-0.0031
8,2009,0.0019
9,2010,0.0653
10,2011,-0.054
11,2012,-0.0333
12,2013,0.023
13,2014,0.0248
14,2015,-0.028
15,2016,0.0012
16,2017,0.209
17,2018,0.0376
18,2019,-0.1329
19,2020,0.0014
20,2021,0.0014
21,2022,0.0036
22,2023,0.0028
23,2024,0.0039
24,2025,0.0018
