,Year,Total Cases Spread rate
0,2001,0.0
1,2002,0.1055
2,2003,0.1405
3,2004,-0.1182
4,2005,-0.1306
5,2006,0.009
6,2007,-0.0511
7,2008,0.0868
8,2009,0.0804
9,2010,0.0111
10,2011,-0.0326
11,2012,0.0027
12,2013,0.0073
13,2014,-0.0455
14,2015,-0.0283
15,2016,-0.0773
16,2017,-0.0991
17,2018,-0.0462
18,2019,0.2685
19,2020,0.0101
20,2021,0.012
21,2022,0.0109
22,2023,0.0089
23,2024,0.0079
24,2025,0.0092
